"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","15109416","","","","0"
"2022","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","714650","","","","0"
"2022","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","769057","","","","0"
"2022","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","803894","","","","0"
"2022","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","849796","","","","0"
"2022","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","1057363","","","","0"
"2022","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","1125870","","","","0"
"2022","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","1103727","","","","0"
"2022","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","1042231","","","","0"
"2022","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","953615","","","","0"
"2022","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","920106","","","","0"
"2022","Ontario","2016A000235","Both sexes","50 to 54 years","Persons","249","units","0","v468765","7.1.67","952495","","","","0"
"2022","Ontario","2016A000235","Both sexes","55 to 59 years","Persons","249","units","0","v468786","7.1.73","1037511","","","","0"
"2022","Ontario","2016A000235","Both sexes","60 to 64 years","Persons","249","units","0","v468804","7.1.79","1004859","","","","0"
"2022","Ontario","2016A000235","Both sexes","65 to 69 years","Persons","249","units","0","v468825","7.1.85","855430","","","","0"
"2022","Ontario","2016A000235","Both sexes","70 to 74 years","Persons","249","units","0","v468828","7.1.86","702728","","","","0"
"2022","Ontario","2016A000235","Both sexes","75 to 79 years","Persons","249","units","0","v468831","7.1.87","523726","","","","0"
"2022","Ontario","2016A000235","Both sexes","80 to 84 years","Persons","249","units","0","v468834","7.1.88","342057","","","","0"
"2022","Ontario","2016A000235","Both sexes","85 to 89 years","Persons","249","units","0","v468837","7.1.89","210952","","","","0"
"2022","Ontario","2016A000235","Both sexes","90 to 94 years","Persons","249","units","0","v31226758","7.1.126","103345","","","","0"
"2022","Ontario","2016A000235","Both sexes","95 to 99 years","Persons","249","units","0","v31226764","7.1.132","31122","","","","0"
"2022","Ontario","2016A000235","Both sexes","100 years and over","Persons","249","units","0","v31226770","7.1.138","4882","","","","0"
"2022","Ontario","2016A000235","Both sexes","Median age","Years","308","units","0","v468579","7.1.105","40.4","","","","1"


