year_week,work_red
2020-07,
2020-08,0.8841857142857144
2020-09,1.058
2020-10,1.0669285714285714
2020-11,0.9945999999999999
2020-12,0.3845
2020-13,0.20018571428571424
2020-14,0.1949285714285714
2020-15,0.13391428571428568
2020-16,0.1996142857142857
2020-17,0.22915714285714284
2020-18,0.23744285714285712
2020-19,0.2587714285714286
2020-20,0.2674571428571429
2020-21,0.28048571428571434
2020-22,0.3450142857142858
2020-23,0.38099999999999995
2020-24,0.38624285714285717
2020-25,0.40058571428571427
2020-26,0.4006142857142857
2020-27,0.30967142857142865
2020-28,0.38099999999999995
2020-29,0.388
2020-30,0.3935
2020-31,0.3669428571428571
2020-32,0.3302285714285714
2020-33,0.3774
2020-34,0.37570000000000003
2020-35,0.3970142857142857
2020-36,0.38442857142857145
2020-37,0.3598
2020-38,0.4509142857142856
2020-39,0.45474285714285706
2020-40,0.4942857142857142
2020-41,0.4820571428571428
2020-42,0.4399
2020-43,0.47885714285714276
2020-44,0.5394
2020-45,0.530942857142857
2020-46,0.4308714285714285
2020-47,0.4980857142857143
2020-48,0.48602857142857137
2020-49,0.5022
2020-50,0.5002428571428571
2020-51,0.4981999999999999
2020-52,0.17740000000000003
2020-53,0.13374285714285714
2021-01,0.4903428571428571
2021-02,0.48812857142857136
2021-03,0.4962428571428571
2021-04,0.48812857142857136
2021-05,0.49822857142857135
2021-06,0.4684428571428571
2021-07,0.44182857142857135
2021-08,0.5062285714285714
2021-09,0.5144571428571428
2021-10,0.5144571428571428
2021-11,0.43197142857142856
2021-12,0.4189571428571428
2021-13,0.3106857142857143
2021-14,0.45232857142857136
2021-15,0.49408571428571424
2021-16,0.48608571428571423
2021-17,0.5002142857142856
2021-18,0.49612857142857136
2021-19,0.5003
2021-20,0.4842428571428571
2021-21,0.47659999999999997
2021-22,0.5542142857142857
2021-23,0.5626428571428571
2021-24,0.5519714285714286
2021-25,0.5164428571428571
2021-26,0.3061857142857143
2021-27,0.4375857142857143
2021-28,0.4394571428571428
2021-29,0.4452428571428571
2021-30,0.4262714285714286
2021-31,0.3726428571428571
2021-32,0.43004285714285706
2021-33,0.4375857142857142
2021-34,0.4375857142857143
2021-35,0.43188571428571426
2021-36,0.4082428571428571
2021-37,0.4489285714285713
2021-38,0.5187142857142856
2021-39,0.5038571428571429
2021-40,0.5604
2021-41,0.5019714285714285
2021-42,0.5522571428571429
2021-43,0.6087428571428573
2021-44,0.6063571428571429
2021-45,0.46655714285714284
2021-46,0.5844428571428572
2021-47,0.5908
2021-48,0.6153571428571428
2021-49,0.6269142857142859
2021-50,0.626457142857143
2021-51,0.28885714285714287
2021-52,0.14918
