,year_week,deaths
0,2020-09,18
1,2020-10,243
2,2020-11,951
3,2020-12,2238
4,2020-13,2904
5,2020-14,2545
6,2020-15,1716
7,2020-16,1592
8,2020-17,1112
9,2020-18,906
10,2020-19,755
11,2020-20,533
12,2020-21,321
13,2020-22,272
14,2020-23,158
15,2020-24,179
16,2020-25,121
17,2020-26,69
18,2020-27,58
19,2020-28,51
20,2020-29,40
21,2020-30,13
22,2020-31,14
23,2020-32,18
24,2020-33,7
25,2020-34,16
26,2020-35,7
27,2020-36,17
28,2020-37,19
29,2020-38,23
30,2020-39,24
31,2020-40,25
32,2020-41,14
33,2020-42,93
34,2020-43,157
35,2020-44,354
36,2020-45,754
37,2020-46,1024
38,2020-47,1157
39,2020-48,1123
40,2020-49,1377
41,2020-50,786
42,2020-51,569
43,2020-52,488
44,2020-53,450
45,2021-01,470
46,2021-02,450
47,2021-03,429
48,2021-04,432
49,2021-05,355
50,2021-06,328
51,2021-07,277
52,2021-08,303
53,2021-09,377
54,2021-10,482
55,2021-11,579
56,2021-12,663
57,2021-13,668
58,2021-14,623
59,2021-15,531
60,2021-16,373
61,2021-17,288
62,2021-18,237
63,2021-19,165
64,2021-20,124
65,2021-21,127
66,2021-22,71
67,2021-23,57
68,2021-24,27
69,2021-25,21
70,2021-26,12
71,2021-27,13
72,2021-28,10
73,2021-29,7
74,2021-30,11
75,2021-31,11
76,2021-32,19
77,2021-33,23
78,2021-34,34
79,2021-35,19
80,2021-36,20
81,2021-37,29
82,2021-38,40
83,2021-39,32
84,2021-40,31
85,2021-41,29
86,2021-42,27
87,2021-43,18
88,2021-44,42
89,2021-45,39
90,2021-46,40
91,2021-47,69
92,2021-48,106
93,2021-49,121
94,2021-50,160
95,2021-51,204
96,2021-52,141
