,year_week,cases
0,2020-44,13222
1,2020-45,14930
2,2020-46,18289
3,2020-47,15588
4,2020-48,14524
5,2020-49,18221
6,2020-50,32908
7,2020-51,65262
8,2020-52,79052
9,2020-53,95697
10,2021-01,86157
11,2021-02,60824
12,2021-03,41248
13,2021-04,26184
14,2021-05,16873
15,2021-06,9751
16,2021-07,7576
17,2021-08,5100
18,2021-09,3740
19,2021-10,3497
20,2021-11,3419
21,2021-12,3458
22,2021-13,2248
23,2021-14,2304
24,2021-15,2230
25,2021-16,2266
26,2021-17,1744
27,2021-18,1864
28,2021-19,1825
29,2021-20,2161
30,2021-21,3026
31,2021-22,4808
32,2021-23,6663
33,2021-24,7905
34,2021-25,13041
35,2021-26,20315
