year_week,oth_red
2020-07,1.0329446782178218
2020-08,1.0605492220650636
2020-09,0.8243163233240224
2020-10,1.0290455625436759
2020-11,1.0034893534785663
2020-12,0.49753970484891075
2020-13,0.14410868495077356
2020-14,0.1946093247025892
2020-15,0.22788918015482057
2020-16,0.22686591554293825
2020-17,0.23427723533619454
2020-18,0.24984861308677098
2020-19,0.31203697283774123
2020-20,0.288996047925608
2020-21,0.28716384917798427
2020-22,0.3032088657573582
2020-23,0.37395504322766565
2020-24,0.4020259166067577
2020-25,0.4112372924187726
2020-26,0.3652890748740101
2020-27,0.4151788558106169
2020-28,0.4678970641210375
2020-29,0.45646015456506106
2020-30,0.47800588340486405
2020-31,0.4750845809455587
2020-32,0.5686159942363113
2020-33,0.5481387033045977
2020-34,0.43326328125
2020-35,0.551759453405018
2020-36,0.623101356238698
2020-37,0.6548082790445169
2020-38,0.6490391089108911
2020-39,0.59296842291372
2020-40,0.6494507928118394
2020-41,0.7913924447612259
2020-42,0.7113884055397727
2020-43,0.7362717077464789
2020-44,0.7264402158527955
2020-45,0.7571724929378532
2020-46,0.8316388083451203
2020-47,0.7426361856033875
2020-48,0.8010825564971752
2020-49,0.8149800424628451
2020-50,0.8355948079658605
2020-51,0.916880960028551
2020-52,0.7619581076265146
2020-53,0.6418937810063785
2021-01,0.7347715565706254
2021-02,0.6107804555084746
2021-03,0.5875578661527681
2021-04,0.5292609747545581
2021-05,0.5819203190743337
2021-06,0.6173884440559441
2021-07,0.6307453070481507
2021-08,0.5876623949579832
2021-09,0.5313252828854313
2021-10,0.44800458748221905
2021-11,0.3455573079658606
2021-12,0.3425432028469751
2021-13,0.33182091584158413
2021-14,0.42241192579505304
2021-15,0.45774053862508857
2021-16,0.5152270313613685
2021-17,0.5778522775423729
2021-18,0.7186923734853884
2021-19,0.667930392503536
2021-20,0.6371436795774648
2021-21,0.6565690770862801
2021-22,0.6874943085106383
2021-23,0.7447251411432604
2021-24,0.6782682746478873
2021-25,0.6814297677691766
2021-26,0.7114764154281671
2021-27,0.8537071097647897
2021-28,0.853964552238806
2021-29,0.8689095854004252
2021-30,0.7901039539007093
2021-31,0.970507846975089
2021-32,0.9203662286931817
2021-33,0.9241068181818182
2021-34,0.819972235915493
2021-35,0.9945355693950177
2021-36,0.9361696709585122
2021-37,0.9540173812898655
2021-38,0.9317797306874557
2021-39,0.9035622704802261
2021-40,1.0202656652360516
2021-41,0.9731099749283667
2021-42,0.9609057978723404
2021-43,0.9760109630419332
2021-44,1.0352025997150998
2021-45,1.1534189208633094
2021-46,1.022954971489665
2021-47,1.123038950573066
2021-48,1.1892363146551725
2021-49,1.2843325928623452
2021-50,1.2889453534985422
2021-51,1.2786167780252413
2021-52,1.1735237283825024
